이름,주행,가격,거주성,품질,디자인,연비,평균점수
미니 클럽맨 JCW,9.4,7.9,7.8,8.6,9.7,8.1,8.6
미니 클럽맨,9.4,7.9,7.8,8.6,9.7,8.1,8.6
미니 컨트리맨 S,9.4,7.6,8.3,8.9,9.8,8.2,8.7
미니 컨트리맨 JCW,9.4,7.6,8.3,8.9,9.8,8.2,8.7
미니 컨트리맨,9.4,7.6,8.3,8.9,9.8,8.2,8.7
미니 컨버터블 S,9.5,7.9,6.9,8.2,9.8,8,8.4
미니 컨버터블 JCW,9.5,7.9,6.9,8.2,9.8,8,8.4
미니 컨버터블,9.5,7.9,6.9,8.2,9.8,8,8.4
기아 모하비,9.3,8.1,9,9,9.5,6.6,8.6
현대 넥쏘,9.6,8.8,8.9,8.8,9.1,9.3,9.1
기아 EV9,9.7,7.2,9.6,9.2,9.6,9.4,9.1
폭스바겐 ID.4,9.8,9.7,9.6,9.4,9.7,9.3,9.6
렉서스 RZ,9.7,7.1,9.8,8.6,8.8,9.7,9
렉서스 RX 하이브리드,9.1,8.7,10,10,9.6,10,9.6
렉서스 RX 플러그인 하이브리드,9.1,8.7,10,10,9.6,10,9.6
푸조 2008,8.5,8.7,9.5,7.5,8.9,7.8,8.4
현대 쏘나타 하이브리드,9.6,7.4,9.5,9.6,9.6,9.3,9.2
현대 쏘나타,9.6,8,9.4,9.2,9.5,8.4,9
기아 셀토스,9.1,8,9,8.8,9.6,7.4,8.7
KGM 렉스턴 스포츠 칸,9.4,7.6,7.8,8.6,9.2,6.9,8.3
KGM 렉스턴 스포츠,8.8,7.5,8.4,8.1,9.7,7.6,8.4
KGM 렉스턴,9.3,8.7,9.4,8.9,9.7,8.7,9.1
링컨 네비게이터,9.5,8.8,9.2,8.8,9.3,5.7,8.6
제네시스 G70 슈팅브레이크,9.6,7.9,7.8,9.1,9.4,6.2,8.3
제네시스 G70,9.6,7.9,7.8,9.1,9.4,6.2,8.3
르노코리아 SM6,9.3,8.4,8.8,8.8,9.6,8.5,8.9
푸조 e-208,9.7,9.1,8.3,9.2,9.9,7.8,9
포드 익스페디션,9.8,9.5,9.5,9.3,9.6,7.6,9.2
포드 브롱코 4도어,9.7,9.1,8.7,8.9,10,6.4,8.8
현대 캐스퍼,9,7.1,8.6,8.4,9.6,7.4,8.4
메르세데스-벤츠 AMG EQE,9.6,7.9,9.5,9.5,9.6,9.6,9.3
마세라티 MC20 첼로,5,5,5,5,5,5,5
BYD T4K,5.5,5.5,4,5.5,10,5.5,6
폭스바겐 투아렉,9.8,9.3,9.5,9.3,9.3,9.2,9.4
포드 익스플로러 하이브리드,9.5,9.2,9.2,8.3,9.3,7.2,8.8
포드 익스플로러,9.5,9.2,9.2,8.3,9.3,7.2,8.8
아우디 RS5 스포트백,9.8,9.5,9,9,9.4,7.5,9
현대 아반떼 하이브리드,9.5,9.5,9.5,9.3,9.9,9.6,9.6
현대 아반떼,9.2,7.8,9.3,8.9,9.6,9.4,9.6
기아 니로 하이브리드,9.3,9.7,8.8,8.9,9.1,9.9,9.3
기아 니로 플러스,9.1,9.1,8.3,8.9,7.3,9.5,8.7
기아 니로 EV,9.5,8.1,8.9,8.6,8.7,8.6,8.7
푸조 e-2008,9.7,8.8,8.9,9.1,9.8,7.4,9
푸조 308,9.5,7.3,8.2,8.5,10,9.5,8.8
토요타 캠리 하이브리드,9.5,9.1,9.2,9.6,9.2,9.5,9.4
토요타 캠리,9.1,8.3,9.5,8.1,8.9,9.7,8.9
토요타 시에나 하이브리드,9.5,7.7,9.7,8.8,9.2,9.7,9.1
아우디 e-트론 S 스포트백,10,9.3,10,10,10,8.7,9.7
아우디 e-트론 S,9.9,9.6,8.3,9.5,8.1,8.9,9.1
