이름,가격(최저가),가격(최고가),크기,연료,연비,이미지,주행,가격,거주성,품질,디자인,연비,평균점수
포르쉐 911 터보 카브리올레,32600 ,32600 ,스포츠카 컨버터블,가솔린,6.8km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_259%2Fauto_1697181101284905k4_PNG%2F20231013161128_mxgK1VBA.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 터보,31040 ,31040 ,스포츠카 쿠페,가솔린 ,6.8km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_186%2Fauto_1697180981854w84DF_PNG%2F20231013160931_dI3E4w2S.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 타르가 GTS,24190 ,26990 ,스포츠카 컨버터블,가솔린 ,7.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_84%2Fauto_1697180819992JIVrU_PNG%2F20231013160646_l4tnBv7F.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 타르가,19620 ,21350 ,스포츠카 컨버터블,가솔린,8.2km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_46%2Fauto_1697180656982O74PN_PNG%2F20231013160405_g7o5CNOo.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 카레라 카브리올레,18700 ,21290 ,스포츠카 컨버터블,가솔린,8.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_22%2Fauto_1697180446768LMNaO_PNG%2F20231013160034_jAHFHmpS.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 카레라 GTS 카브리올레,23270 ,24190 ,스포츠카 컨버터블,가솔린,8.1km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_153%2Fauto_1697179906120cwRfo_PNG%2F20231013155132_g0iqhnAT.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 카레라 GTS,21690 ,22610 ,스포츠카 쿠페,가솔린,8.1km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_176%2Fauto_1697179665408yIeWr_PNG%2F20231013154734_gL85RQkJ.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 카레라,17110 ,19770 ,스포츠카 쿠페,가솔린,8.5km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_6%2Fauto_1697179415021lMRwG_PNG%2F20231013154318_fNdIqAKG.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
포르쉐 911 GT3,25160 ,25160 ,스포츠카 쿠페,가솔린,6.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_188%2Fauto_1697178952478HkBru_PNG%2F20231013153537_C4zy0DLL.png,9.8 ,8.3 ,8.4 ,9.2 ,9.8 ,8.3 ,9.0 
제네시스 일렉트리파이드 GV70,7332 ,7332 ,중형 SUV,전기,4.6km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230725_208%2Fauto_1690248274999p2PBY_PNG%2F20230725102426_rCC4UZR0.png,9.8 ,7.3 ,9.3 ,9.6 ,9.7 ,8.6 ,9.1 
기아 스포티지 하이브리드,3213 ,4054 ,준중형 SUV,"가솔린,하이브리드",16.7km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231012_198%2Fauto_1697073683630sAps7_PNG%2F20231012102117_Fbrq8eXE.png,9.4 ,7.0 ,9.2 ,9.0 ,9.5 ,9.1 ,8.9 
기아 스포티지,2537 ,3892 ,준중형 SUV,"LPG,가솔린,디젤",14.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230718_102%2Fauto_1689641714508jz1SM_PNG%2F20230718095508_E6QIQj9h.png,8.9 ,7.7 ,9.2 ,8.8 ,9.6 ,7.9 ,8.7 
쉐보레 트레일블레이저,2699 ,3339 ,소형 SUV,가솔린,12.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230719_266%2Fauto_1689746786252GaguN_PNG%2F20230719150624_9wsxIUZ8.png,9.6 ,7.3 ,8.7 ,9.0 ,9.9 ,8.6 ,8.9 
기아 모닝,1290 ,1655 ,경형 해치백,가솔린,15.1km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_272%2Fauto_1693370317256gtoJa_PNG%2F20230830133831_U6CYJLma.png,8.2 ,7.6 ,9.1 ,8.1 ,9.8 ,8.9 ,8.6 
기아 K3 GT,2784 ,2784 ,준중형 해치백,가솔린,12.1km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230719_148%2Fauto_1689726787657iwNYz_PNG%2F20230719093301_CL4QAUFI.png,9.2 ,8.9 ,9.0 ,9.1 ,9.6 ,8.9 ,9.1 
기아 K3,1825 ,2507 ,준중형 세단,가솔린,15.2km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230719_148%2Fauto_1689726763419bQ4Pe_PNG%2F20230719093236_4YHS6xhY.png,9.2 ,8.9 ,9.0 ,9.1 ,9.6 ,8.9 ,9.1 
BMW i4 M50,8490 ,9100 ,중형 세단,전기 ,4.1km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_261%2Fauto_16933799165360rHNx_PNG%2F20230830161835_efoxSrIE.png,9.9 ,9.2 ,8.2 ,9.6 ,9.8 ,9.4 ,9.4 
BMW i4,8110 ,8480 ,중형 세단,전기 ,4.6km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_15%2Fauto_1693379367916NLI9u_PNG%2F20230830160926_jCc2yYRU.png,9.9 ,9.2 ,8.2 ,9.6 ,9.8 ,9.4 ,9.4 
BMW X7,14720 ,18080 ,대형 SUV,"가솔린,디젤 ",10km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_255%2Fauto_1688618684327J5zgj_PNG%2F20230706134436_3DpO4749.png,9.8 ,9.1 ,9.7 ,9.6 ,9.7 ,8.1 ,9.3 
BMW X6,12580 ,15910 ,준대형 SUV,"가솔린,디젤",11.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_181%2Fauto_1693381915993jta0z_PNG%2F20230830165155_PJglpq2l.png,9.8 ,8.2 ,8.6 ,9.4 ,9.9 ,7.9 ,9.0 
BMW X5 플러그인 하이브리드,12800 ,14360 ,준대형 SUV,"전기, 가솔린",13.2km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_151%2Fauto_1693381122068pPNeb_PNG%2F20230830163840_UF2aovUe.png,9.8 ,8.2 ,9.1 ,9.6 ,9.7 ,8.5 ,9.2 
BMW X5,11610 ,15800 ,준대형 SUV,"가솔린,디젤",11.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230208_258%2Fauto_1675828261297QnsIm_PNG%2F20230208125050_RAh9fLeN.png,9.8 ,8.2 ,9.1 ,9.6 ,9.7 ,8.5 ,9.2 
M4 컨버터블,14070 ,14070 ,중형 컨버터블,가솔린 ,8.3km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_113%2Fauto_1688618351124vRO1B_PNG%2F20230706133900_8y9J7OZZ.png,9.9 ,7.5 ,8.7 ,9.2 ,9.3 ,6.8 ,8.6 
BMW M4,13640 ,14300 ,중형 쿠페,가솔린,8.3km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_277%2Fauto_1688618230738nfPNc_PNG%2F20230706133702_xCMNRSON.png,9.9 ,7.5 ,8.7 ,9.2 ,9.3 ,6.8 ,8.6 
BMW M2,8990 ,8990 ,준중형 쿠페,가솔린 ,8.5km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20221012_15%2Fauto_1665544132876y8Nmf_PNG%2F20221012120840_Ijgg5VdZ.png,10.0 ,8.2 ,7.0 ,8.2 ,8.2 ,6.6 ,8.0 
BMW 4시리즈 컨버터블,7580 ,9780 ,중형 컨버터블,가솔린,11.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_234%2Fauto_1688617783455gW6r3_PNG%2F20230706132929_9z6QWSb1.png,9.7 ,9.0 ,8.8 ,9.6 ,9.8 ,8.6 ,9.3 
BMW 4시리즈 그란쿠페,6220 ,6700 ,중형 세단,"가솔린,디젤",15km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_198%2Fauto_1688617649576SfX1D_PNG%2F20230706132721_UTw0oCRg.png,9.7 ,9.0 ,8.8 ,9.6 ,9.8 ,8.6 ,9.3 
BMW 4시리즈,6700 ,9210 ,중형 쿠페,가솔린 ,11.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_73%2Fauto_1688617501924wAnb2_PNG%2F20230706132447_WYwi9rLx.png,9.7 ,9.0 ,8.8 ,9.6 ,9.8 ,8.6 ,9.3 
폭스바겐 티구안,4548 ,4961 ,준중형 SUV,디젤 ,15.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_130%2Fauto_1714017438521J6qGF_PNG%2F20240425125717_PlfaHq2R.png,9.2 ,9.1 ,9.0 ,9.1 ,9.3 ,9.3 ,9.2 
폭스바겐 아테온,5880 ,6370 ,중형 세단,디젤 ,15.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_139%2Fauto_17140170494057K0Gk_PNG%2F20240425125040_ioz5qiLK.png,9.5 ,9.3 ,9.3 ,8.7 ,9.9 ,9.8 ,9.4 
폭스바겐 골프 GTI,4970 ,4970 ,준중형 해치백,가솔린 ,11.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230712_245%2Fauto_1689125727223noi5q_PNG%2F20230712103519_i0AKdAjo.png,9.5 ,8.7 ,8.7 ,9.0 ,9.4 ,9.5 ,9.1 
토요타 하이랜더 하이브리드,6660 ,7470 ,준대형 SUV,"가솔린,하이브리드",13.8km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230725_257%2Fauto_1690266025500KmR9f_PNG%2F20230725152019_ryF8f78n.png,9.8 ,8.4 ,9.9 ,9.5 ,8.9 ,9.9 ,9.4 
캐딜락 XT5,6910 ,7710 ,중형 SUV,가솔린 ,8km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_279%2Fauto_1698123406585eb64e_PNG%2F20231024135636_3wIBldSS.png,9.5 ,9.0 ,9.3 ,9.0 ,9.6 ,6.9 ,8.9 
캐딜락 CT5-V,14000 ,14000 ,준대형 세단,가솔린 ,6.1km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_107%2Fauto_1698123270754WzcVM_PNG%2F20231024135422_3alzAOso.png,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,7.3 ,9.6 
캐딜락 CT5,5640 ,6140 ,준대형 세단,가솔린 ,10.2km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_129%2Fauto_1698123173378BEFHv_PNG%2F20231024135242_bZUpBISo.png,10.0 ,10.0 ,10.0 ,10.0 ,10.0 ,7.3 ,9.6 
아우디 S8 L,21630 ,21630 ,대형 세단,가솔린 ,7.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_127%2Fauto_1688617199288eDnc2_PNG%2F20230706131947_TkYOr2zB.png,10.0 ,10.0 ,10.0 ,8.0 ,10.0 ,4.0 ,8.7 
현대 아반떼 N,3352 ,3560 ,준중형 세단,가솔린 ,10.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230726_283%2Fauto_16903362266313M5UF_PNG%2F20230726105020_MDd11Slx.png,10.0 ,9.7 ,9.5 ,8.6 ,9.8 ,7.9 ,9.3 
메르세데스-EQ EQE SUV,10990 ,12850 ,준대형 SUV,전기 ,3.8km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20221018_105%2Fauto_1666069706744wPvf9_PNG%2F20221018140815_Auhvq7R0.png,9.3 ,7.8 ,9.8 ,9.5 ,7.3 ,9.0 ,8.8 
마이브 M1,1892 ,1892 ,경형 해치백,전기,5.5km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_171%2Fauto_1688605870100PCPd2_PNG%2F20230706101100_xwgY8xVn.png,8.0 ,7.9 ,7.6 ,6.3 ,9.5 ,7.5 ,7.8 
마세라티 콰트로포르테,19000 ,31200 ,대형 세단,가솔린 ,7.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240213_90%2Fauto_1707810954652U7Kre_PNG%2F20240213165546_G8ncLXH3.png,9.5 ,7.2 ,8.7 ,8.1 ,9.9 ,6.0 ,8.2 
마세라티 르반떼,15200 ,24500 ,준대형 SUV,가솔린,7.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240213_256%2Fauto_1707810790801D2U0B_PNG%2F20240213165302_XiBYbzgm.png,9.7 ,7.5 ,8.5 ,9.0 ,9.8 ,5.9 ,8.4 
마세라티 기블리,13600 ,20200 ,준대형 세단,가솔린,8.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240213_47%2Fauto_1707810619501QUWAf_PNG%2F20240213165010_S5yt2yBw.png,9.3 ,7.9 ,7.7 ,8.4 ,9.9 ,6.6 ,8.3 
마세라티 MC20,33700 ,33700 ,스포츠카 쿠페,가솔린 ,7km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_193%2Fauto_16886101757584XDU2_PNG%2F20230706112244_tIFbLX5k.png,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 
현대 팰리세이드,3896 ,5491 ,준대형 SUV,"가솔린,디젤",12.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230602_298%2Fauto_1685665402236fgsC9_PNG%2F20230602092312_wlHenVQq.png,9.5 ,8.6 ,9.6 ,9.3 ,9.5 ,7.1 ,8.9 
KGM 티볼리 에어,2312 ,2719 ,소형 SUV,가솔린 ,12km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230601_154%2Fauto_1685585503161yAJHO_PNG%2F20230601111135_2mM6KkxI.png,9.7 ,7.7 ,6.7 ,8.0 ,8.0 ,7.0 ,7.9 
KGM 티볼리,1898 ,2807 ,소형 SUV,가솔린,12km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230601_1%2Fauto_1685582924851ArG94_PNG%2F20230601102837_PRlHuhFR.png,9.7 ,7.7 ,6.7 ,8.0 ,8.0 ,7.0 ,7.9 
미니 해치백 S 5도어,4860 ,4990 ,소형 해치백,가솔린 ,12.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_163%2Fauto_1686641790051SXNjL_PNG%2F20230613163622_gKfgRJVX.png,9.5 ,7.8 ,7.2 ,8.5 ,9.8 ,8.3 ,8.5 
미니 해치백 S,4670 ,4850 ,소형 해치백,가솔린 ,12.3km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_296%2Fauto_1686641738868xGMT5_PNG%2F20230613163530_0S2RO5qK.png,9.5 ,7.8 ,7.2 ,8.5 ,9.8 ,8.3 ,8.5 
미니 해치백 JCW,5500 ,5500 ,소형 해치백,가솔린 ,11.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_283%2Fauto_1686641626177axpdj_PNG%2F20230613163338_KXtQAXby.png,9.5 ,7.8 ,7.2 ,8.5 ,9.8 ,8.3 ,8.5 
미니 해치백 5도어,4200 ,4200 ,소형 해치백,가솔린,12.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_43%2Fauto_1686641559401dMOzX_PNG%2F20230613163231_IqMHFRTM.png,9.5 ,7.8 ,7.2 ,8.5 ,9.8 ,8.3 ,8.5 
미니 해치백,3660 ,4040 ,소형 해치백,가솔린 ,13.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_59%2Fauto_16866414333940SsDI_PNG%2F20230613163026_s5nj4t6R.png,9.5 ,7.8 ,7.2 ,8.5 ,9.8 ,8.3 ,8.5 
미니 클럽맨 S,5230 ,5520 ,소형 왜건,가솔린,10.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_127%2Fauto_1686641325877yjgUd_PNG%2F20230613162838_VNlwMw3R.png,9.4 ,7.9 ,7.8 ,8.6 ,9.7 ,8.1 ,8.6 
미니 클럽맨 JCW,6320 ,6340 ,소형 왜건,가솔린 ,9.7km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_177%2Fauto_1686641262496nRI1g_PNG%2F20230613162733_3YopzXwY.png,9.4 ,7.9 ,7.8 ,8.6 ,9.7 ,8.1 ,8.6 
미니 클럽맨,4370 ,4700 ,소형 왜건,가솔린 ,11.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_222%2Fauto_1686641126457rVLgO_PNG%2F20230613162518_Xnh6d0Vr.png,9.4 ,7.9 ,7.8 ,8.6 ,9.7 ,8.1 ,8.6 
미니 컨트리맨 S,5650 ,5730 ,소형 SUV,가솔린 ,10.7km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_20%2Fauto_1686640993541Ysi5b_PNG%2F20230613162304_1ARciBca.png,9.4 ,7.6 ,8.3 ,8.9 ,9.8 ,8.2 ,8.7 
미니 컨트리맨 JCW,6550 ,6550 ,소형 SUV,가솔린 ,10.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_283%2Fauto_16866410536899kTVK_PNG%2F20230613162406_QIZ3Gfl9.png,9.4 ,7.6 ,8.3 ,8.9 ,9.8 ,8.2 ,8.7 
미니 컨트리맨,4890 ,4990 ,소형 SUV,가솔린 , 11.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_63%2Fauto_1686640892159tDu59_PNG%2F20230613162121_HPlYkwao.png,9.4 ,7.6 ,8.3 ,8.9 ,9.8 ,8.2 ,8.7 
미니 컨버터블 S,5270 ,5270 ,소형 컨버터블,가솔린 ,12km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_4%2Fauto_16866408051196drr7_PNG%2F20230613161956_3IFHe5kV.png,9.5 ,7.9 ,6.9 ,8.2 ,9.8 ,8.0 ,8.4 
미니 컨버터블 JCW,5930 ,5930 ,소형 컨버터블,가솔린 ,11.3km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_204%2Fauto_1686640589693zqBH0_PNG%2F20230613161621_LCi7f0Oa.png,9.5 ,7.9 ,6.9 ,8.2 ,9.8 ,8.0 ,8.4 
미니 컨버터블,4700 ,4700 ,소형 컨버터블,가솔린 ,12.1km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_97%2Fauto_1686640302773kUXS2_PNG%2F20230613161129_hujX7zlN.png,9.5 ,7.9 ,6.9 ,8.2 ,9.8 ,8.0 ,8.4 
기아 모하비,5054 ,5993 ,준대형 SUV,디젤 ,9.3km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230601_22%2Fauto_1685586239443XNqA4_PNG%2F20230601112353_KfeNPXbP.png,9.3 ,8.1 ,9.0 ,9.0 ,9.5 ,6.6 ,8.6 
현대 넥쏘,6950 ,6950 ,중형 SUV,"전기,수소",96.2km/kg,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230609_91%2Fauto_1686271870675BEwRW_PNG%2F20230609095104_QYxQ6cTX.png,9.6 ,8.8 ,8.9 ,8.8 ,9.1 ,9.3 ,9.1 
기아 EV9,7337 ,8397 ,준대형 SUV,전기 ,4.2km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_51%2Fauto_1693370289914NbAUe_PNG%2F20230830133804_8YQK6VWz.png,9.7 ,7.2 ,9.6 ,9.2 ,9.6 ,9.4 ,9.1 
폭스바겐 ID.4,5490 ,5990 ,준중형 SUV,전기 ,4.9km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230628_170%2Fauto_1687914928699U6KlD_PNG%2F20230628101516_3bbDDJA7.png,9.8 ,9.7 ,9.6 ,9.4 ,9.7 ,9.3 ,9.6 
렉서스 RZ,8490 ,9300 ,중형 SUV,전기 ,5.4km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230621_218%2Fauto_1687311509572LMG53_PNG%2F20230621103816_j9NOs4uq.png,9.7 ,7.1 ,9.8 ,8.6 ,8.8 ,9.7 ,9.0 
렉서스 RX 하이브리드,9870 ,9870 ,준대형 SUV,"가솔린,하이브리드",13.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230621_139%2Fauto_1687312709448e14KV_PNG%2F20230621105818_9Eo1YPji.png,9.1 ,8.7 ,10.0 ,10.0 ,9.6 ,10.0 ,9.6 
렉서스 RX 플러그인 하이브리드,10993 ,10993 ,준대형 SUV,"전기,가솔린,하이브리드",14km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230621_275%2Fauto_1687313039639FAiz0_PNG%2F20230621110345_C4AcGENE.png,9.1 ,8.7 ,10.0 ,10.0 ,9.6 ,10.0 ,9.6 
푸조 2008,2600 ,3100 ,소형 SUV,디젤 ,4.2km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230508_297%2Fauto_1683511188977Q1KtT_PNG%2F20230508105939_SEXeEm1o.png,8.5 ,8.7 ,9.5 ,7.5 ,8.9 ,7.8 ,8.4 
현대 쏘나타 하이브리드,3187 ,3921 ,중형 세단,"가솔린,하이브리드",19.4km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230503_234%2Fauto_1683080227521ofo65_PNG%2F20230503111658_Xww80eJY.png,9.6 ,7.4 ,9.5 ,9.6 ,9.6 ,9.3 ,9.2 
현대 쏘나타,2808 ,3917 ,중형 세단,"LPG,가솔린",13.5km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230503_144%2Fauto_1683080196979gP0vc_PNG%2F20230503111631_b0ABwRey.png,9.6 ,8.0 ,9.4 ,9.2 ,9.5 ,8.4 ,9.0 
기아 셀토스,2087 ,2903 ,소형 SUV,가솔린 ,12.9km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230502_286%2Fauto_1682989240407CfIwn_PNG%2F20230502100034_BJI4ZMFK.png,9.1 ,8.0 ,9.0 ,8.8 ,9.6 ,7.4 ,8.7 
KGM 렉스턴 스포츠 칸,3104 ,4246 ,준대형 트럭,디젤 ,10.3km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230515_50%2Fauto_1684115973751vKj0O_PNG%2F20230515105926_LxrTX71Q.png,9.4 ,7.6 ,7.8 ,8.6 ,9.2 ,6.9 ,8.3 
